nome,endereco,cidade,estado,latitude,longitude,imagem_url,fonte_url,detalhe_url,petisco_descricao,telefone,horario,maps_url
Café Palhares,"Rua dos Tupinambás, 638 | Centro, Belo Horizonte – MG",Belo Horizonte,MG,-19.9188101,-43.9345824,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112026/cafepalhares_picadimdecarne_bh_2026_rodneycosta_unibh-4797.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/5/,https://comidadibuteco.com.br/buteco/3149-revision-v1/,"Picadim Picadinho de carne bovina, acompanhado de sunomono de talo de couve, torradas e finalizado com nuvem de queijo parmesão.",3132011841,Segunda-feira: 10h – 16h | Terça-feira: 10h – 16h | Quarta-feira: 10h – 16h | Quinta-feira: 10h – 16h | Sexta-feira: 10h – 16h | Sábado: 10h – 16h,"https://www.google.com/maps/search/?api=1&query=Rua dos Tupinambás, 638 | Centro, Belo Horizonte - MG"
Camisola Bar,"R. Luther King, 242 | Cidade Nova, Belo Horizonte – MG",Belo Horizonte,MG,-19.8926606,-43.9246059,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112028/camisolabar_frangoraiz_bh_2026_vicentealexandre_unibh-3575.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/5/,https://comidadibuteco.com.br/buteco/camisola-bar/,Frango Raiz Sobrecoxa ensopada com ora-pro-nóbis e polenta.,31999486915,Terça-feira: 18h – 0h | Quarta-feira: 18h – 0h | Quinta-feira: 18h – 0h | Sexta-feira: 18h – 0h | Sábado: 12h – 0h | Domingo: 12h – 17h,"https://www.google.com/maps/search/?api=1&query=R. Luther King, 242 | Cidade Nova, Belo Horizonte - MG"
Cantina Arte Quintal,"R. Realengo, 150 | Caiçara, Belo Horizonte – MG",Belo Horizonte,MG,-19.9014096,-43.9756523,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112030/cantinaartequintal_porcoatoladonalama_juliacristine_unibh-3312.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/5/,https://comidadibuteco.com.br/buteco/cantina-arte-quintal/,"Porco Atolado na Lama Carne e pé de porco, molho de tomate e cebola. Acompanha tempurá de ora-pro-nóbis, refogado de mostarda e creme de milho.",31999476695,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 18h – 23h | Sexta-feira: 17h – 23h | Sábado: 14h – 23h | Domingo: 14h – 23h,"https://www.google.com/maps/search/?api=1&query=R. Realengo, 150 | Caiçara, Belo Horizonte - MG"
Cantinho da Baiana,"R. Itaité, 422 | São Geraldo, Belo Horizonte – MG",Belo Horizonte,MG,-19.8980427,-43.8989349,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112031/cantinhodabaiana_espiritodeporco_bh_2026_rodneycosta_unibh-4418.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/5/,https://comidadibuteco.com.br/buteco/cantinho-da-baiana/,Espírito de Porco Bisteca ao molho com purê de batata com alho-poró.,31997627848,Quarta-feira: 17h40 – 22h | Quinta-feira: 17h40 – 22h | Sexta-feira: 17h40 – 22h | Sábado: 13h40 – 22h | Domingo: 13h40 – 22h,"https://www.google.com/maps/search/?api=1&query=R. Itaité, 422 | São Geraldo, Belo Horizonte - MG"
Casa Mojubá,"Rua Mármore, 817 | Santa Tereza, Belo Horizonte – MG",Belo Horizonte,MG,-19.9162948,-43.9182816,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112135/barcasamojuba_saborancestral_bh_2026_pauloti_unibh-4980.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/5/,https://comidadibuteco.com.br/buteco/casa-mojuba/,"Sabor Ancestral Charutinho de repolho-roxo recheado com ragu de pernil, acompanha creme de abóbora regado com glass de bacon e crispy de couve.",31992412771,Terça-feira: 17h – 23h30 | Quarta-feira: 17h – 23h30 | Quinta-feira: 17h – 23h30 | Sexta-feira: 17h – 23h30 | Sábado: 12h – 23h30 | Domingo: 12h – 21h,"https://www.google.com/maps/search/?api=1&query=Rua Mármore, 817 | Belo Horizonte - MG"
Chapa Mágica,"Av. Waldomiro Lobo, 305 | Guarani, Belo Horizonte – MG",Belo Horizonte,MG,-19.8463786,-43.9312696,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112137/chapamagica_girodoaioporo_bh_2026_kaiqueamorim_unibh-3799.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/5/,https://comidadibuteco.com.br/buteco/chapa-magica/,"O Giro du Aio-Poró! Girassol de batatas assadas no azeite de ervas, frango desfiado com bacon, envolto em cream cheese e alho-poró e finalizado com queijo maçaricado.",31983677608,Segunda-feira: 11h – 0h | Terça-feira: 11h – 0h | Quarta-feira: 11h – 0h | Quinta-feira: 11h – 0h | Sexta-feira: 11h – 0h | Sábado: 11h – 0h | Domingo: 11h – 0h,"https://www.google.com/maps/search/?api=1&query=Av. Waldomiro Lobo, 305 | Guarani, Belo Horizonte - MG"
Choperia América Norte Sul,"R. Chico Rei, 190 | Estrela do Oriente, Belo Horizonte – MG",Belo Horizonte,MG,-19.9615872,-43.9847596,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112138/choperiaamericanortesul_fonduedebuteco_bh_2026_julianunes_unibh-3674.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/5/,https://comidadibuteco.com.br/buteco/choperia-america-norte-sul/,"Fondue de Buteco Trouxinhas de bacon, lombo recheado com ricota e espinafre acompanhado de um fondue de queijos mineiros, abacaxi com molho agridoce.",31995922703,Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 13h – 23h | Domingo: 12h – 18h,"https://www.google.com/maps/search/?api=1&query=R. Chico Rei, 190 | Estrela do Oriente, Belo Horizonte - MG"
Chopp da Esquina,"R. Garret, 263 | Nova Granada, Belo Horizonte – MG",Belo Horizonte,MG,-19.9432796,-43.9684262,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112140/choppdaesquina_sabornalata_bh_2026_rodneycosta_unibh-5096.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/5/,https://comidadibuteco.com.br/buteco/chopp-da-esquina/,"O Sabor na Lata Carne de lata suína, acompanhada de molho sugo com almeirão.",31971407790,Segunda-feira: 17h – 23h | Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 12h – 23h,"https://www.google.com/maps/search/?api=1&query=R. Garret, 263 | Nova Granada, Belo Horizonte - MG"
Cipoeiro Bar,"Rua Desembargador José Satyro, 451 | Castelo, Belo Horizonte – MG",Belo Horizonte,MG,-19.8886426,-43.9960496,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112242/cipoeiro_linguicaestouradacipoeiro_bh_2026_rodneycosta_unibh-3437.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/5/,https://comidadibuteco.com.br/buteco/cipoeiro-bar/,"Linguiça Estourada Cipoeiro Linguiça estourada com pimenta-biquinho, acompanhada de angu de milho-verde frito, ora-pro-nóbis e geleia de goiabada.",3187654361,Terça-feira: 17h – 22h30 | Quarta-feira: 17h – 22h30 | Quinta-feira: 17h – 22h30 | Sexta-feira: 17h – 23h30 | Sábado: 11h – 23h30 | Domingo: 11h – 18h30,"https://www.google.com/maps/search/?api=1&query=Rua Desembargador José Satyro, 451 | Belo Horizonte - MG"
Comida & Prosa,"Av. Francisco Sá, 306 | Prado, Belo Horizonte – MG",Belo Horizonte,MG,-19.928111,-43.9596885,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112243/comidaeprosa_rabadaembriagada_ludmylasandrin_unibh-3894.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/5/,https://comidadibuteco.com.br/buteco/comida-prosa/,Rabada Embriagada Rabada ao vinho com agrião e batata.,31996175584,Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 17h – 0h | Domingo: 17h – 0h,"https://www.google.com/maps/search/?api=1&query=Av. Francisco Sá, 306 | Belo Horizonte - MG"
Companhia do Dino,"Avenida Joaquim Clemente, 682 | Floramar, Belo Horizonte – MG",Belo Horizonte,MG,-19.8396478,-43.9332774,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112245/campanhiadodino_pescocodeboidodino_rodneycosta_unibh-3209.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/6/,https://comidadibuteco.com.br/buteco/companhia-do-dino/,Pescoço do Dino Pescoço de boi com farofa de alho e brócolis no vapor.,31993418788,Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 11h – 23h | Domingo: 11h – 16h,"https://www.google.com/maps/search/?api=1&query=Avenida Joaquim Clemente, 682 | Floramar, Belo Horizonte - MG"
